unicode,gb2312,Chinese,stroke number,id
0x5E7D,0xD3C4,幽,9,3325
0x4F18,0xD3C5,优,6,3326
0x60A0,0xD3C6,悠,11,3327
0x5FE7,0xD3C7,忧,7,3328
0x5C24,0xD3C8,尤,4,3329
0x7531,0xD3C9,由,5,3330
0x90AE,0xD3CA,邮,7,3331
0x94C0,0xD3CB,铀,10,3332
0x72B9,0xD3CC,犹,7,3333
0x6CB9,0xD3CD,油,8,3334
0x6E38,0xD3CE,游,12,3335
0x9149,0xD3CF,酉,7,3336
0x6709,0xD3D0,有,6,3337
0x53CB,0xD3D1,友,4,3338
0x53F3,0xD3D2,右,5,3339
0x4F51,0xD3D3,佑,7,3340
0x91C9,0xD3D4,釉,12,3341
0x8BF1,0xD3D5,诱,9,3342
0x53C8,0xD3D6,又,2,3343
0x5E7C,0xD3D7,幼,5,3344
0x8FC2,0xD3D8,迂,6,3345
0x6DE4,0xD3D9,淤,11,3346
0x4E8E,0xD3DA,于,3,3347
0x76C2,0xD3DB,盂,8,3348
0x6986,0xD3DC,榆,13,3349
0x865E,0xD3DD,虞,13,3350
0x611A,0xD3DE,愚,13,3351
0x8206,0xD3DF,舆,14,3352
0x4F59,0xD3E0,余,7,3353
0x4FDE,0xD3E1,俞,9,3354
0x903E,0xD3E2,逾,12,3355
0x9C7C,0xD3E3,鱼,8,3356
0x6109,0xD3E4,愉,12,3357
0x6E1D,0xD3E5,渝,12,3358
0x6E14,0xD3E6,渔,11,3359
0x9685,0xD3E7,隅,11,3360
0x4E88,0xD3E8,予,4,3361
0x5A31,0xD3E9,娱,10,3362
0x96E8,0xD3EA,雨,8,3363
0x4E0E,0xD3EB,与,3,3364
0x5C7F,0xD3EC,屿,6,3365
0x79B9,0xD3ED,禹,9,3366
0x5B87,0xD3EE,宇,6,3367
0x8BED,0xD3EF,语,9,3368
0x7FBD,0xD3F0,羽,6,3369
0x7389,0xD3F1,玉,5,3370
0x57DF,0xD3F2,域,11,3371
0x828B,0xD3F3,芋,6,3372
0x90C1,0xD3F4,郁,8,3373
0x5401,0xD3F5,吁,6,3374
0x9047,0xD3F6,遇,12,3375
0x55BB,0xD3F7,喻,12,3376
0x5CEA,0xD3F8,峪,10,3377
0x5FA1,0xD3F9,御,12,3378
0x6108,0xD3FA,愈,13,3379
0x6B32,0xD3FB,欲,11,3380
0x72F1,0xD3FC,狱,9,3381
0x80B2,0xD3FD,育,8,3382
0x8A89,0xD3FE,誉,13,3383
0x6D74,0xD4A1,浴,10,3384
0x5BD3,0xD4A2,寓,12,3385
0x88D5,0xD4A3,裕,12,3386
0x9884,0xD4A4,预,10,3387
0x8C6B,0xD4A5,豫,15,3388
0x9A6D,0xD4A6,驭,5,3389
0x9E33,0xD4A7,鸳,10,3390
0x6E0A,0xD4A8,渊,11,3391
0x51A4,0xD4A9,冤,10,3392
0x5143,0xD4AA,元,4,3393
0x57A3,0xD4AB,垣,9,3394
0x8881,0xD4AC,袁,10,3395
0x539F,0xD4AD,原,10,3396
0x63F4,0xD4AE,援,12,3397
0x8F95,0xD4AF,辕,14,3398
0x56ED,0xD4B0,园,7,3399
0x5458,0xD4B1,员,7,3400
0x5706,0xD4B2,圆,10,3401
0x733F,0xD4B3,猿,13,3402
0x6E90,0xD4B4,源,13,3403
0x7F18,0xD4B5,缘,12,3404
0x8FDC,0xD4B6,远,7,3405
